"cohort_month","month_number","active_customer"
"2016-09",0,4
"2016-10",0,321
"2016-10",6,1
"2016-10",9,1
"2016-10",11,1
"2016-10",13,1
"2016-10",14,1
"2016-10",17,1
"2016-10",18,1
"2016-10",19,1
"2016-10",20,2
"2016-12",0,1
"2017-01",0,764
"2017-01",1,2
"2017-01",3,4
"2017-01",4,1
"2017-01",5,1
"2017-01",6,3
"2017-01",7,2
"2017-01",10,4
"2017-01",11,6
"2017-01",12,3
"2017-01",13,1
"2017-01",15,3
"2017-01",16,3
"2017-01",19,1
"2017-02",0,1752
"2017-02",1,3
"2017-02",2,3
"2017-02",3,6
"2017-02",4,4
"2017-02",5,2
"2017-02",6,4
"2017-02",7,3
"2017-02",8,2
"2017-02",9,5
"2017-02",11,6
"2017-02",12,2
"2017-02",13,4
"2017-02",14,2
"2017-02",16,3
"2017-02",17,3
"2017-03",0,2636
"2017-03",1,7
"2017-03",2,16
"2017-03",3,9
"2017-03",4,3
"2017-03",5,3
"2017-03",6,8
"2017-03",7,6
"2017-03",8,6
"2017-03",9,9
"2017-03",10,4
"2017-03",11,4
"2017-03",12,5
"2017-03",13,4
"2017-03",14,7
"2017-03",15,1
"2017-03",16,4
"2017-03",17,1
"2017-04",0,2352
"2017-04",1,9
"2017-04",2,5
"2017-04",3,1
"2017-04",4,9
"2017-04",5,8
"2017-04",6,6
"2017-04",7,9
"2017-04",8,6
"2017-04",9,6
"2017-04",10,1
"2017-04",11,4
"2017-04",13,2
"2017-04",14,2
"2017-04",15,4
"2017-04",16,2
"2017-05",0,3596
"2017-05",1,17
"2017-05",2,13
"2017-05",3,13
"2017-05",4,12
"2017-05",5,12
"2017-05",6,14
"2017-05",7,4
"2017-05",8,11
"2017-05",9,11
"2017-05",10,9
"2017-05",11,8
"2017-05",12,8
"2017-05",13,3
"2017-05",14,10
"2017-05",15,4
"2017-06",0,3139
"2017-06",1,14
"2017-06",2,15
"2017-06",3,10
"2017-06",4,5
"2017-06",5,16
"2017-06",6,11
"2017-06",7,5
"2017-06",8,3
"2017-06",9,12
"2017-06",10,10
"2017-06",11,6
"2017-06",12,4
"2017-06",13,6
"2017-06",14,2
"2017-07",0,3894
"2017-07",1,15
"2017-07",2,10
"2017-07",3,10
"2017-07",4,11
"2017-07",5,10
"2017-07",6,7
"2017-07",7,7
"2017-07",8,6
"2017-07",9,11
"2017-07",10,10
"2017-07",11,8
"2017-07",12,8
"2017-07",13,5
"2017-08",0,4184
"2017-08",1,27
"2017-08",2,11
"2017-08",3,17
"2017-08",4,14
"2017-08",5,20
"2017-08",6,9
"2017-08",7,9
"2017-08",8,8
"2017-08",9,7
"2017-08",10,7
"2017-08",11,9
"2017-09",0,4130
"2017-09",1,20
"2017-09",2,19
"2017-09",3,17
"2017-09",4,12
"2017-09",5,8
"2017-09",6,11
"2017-09",7,9
"2017-09",8,11
"2017-09",9,8
"2017-09",10,8
"2017-09",11,1
"2017-10",0,4470
"2017-10",1,26
"2017-10",2,4
"2017-10",3,7
"2017-10",4,10
"2017-10",5,8
"2017-10",6,14
"2017-10",7,14
"2017-10",8,10
"2017-10",9,10
"2017-10",10,3
"2017-11",0,7304
"2017-11",1,28
"2017-11",2,21
"2017-11",3,12
"2017-11",4,11
"2017-11",5,13
"2017-11",6,9
"2017-11",7,13
"2017-11",8,7
"2017-11",9,1
"2017-12",0,5487
"2017-12",1,17
"2017-12",2,18
"2017-12",3,15
"2017-12",4,13
"2017-12",5,12
"2017-12",6,2
"2017-12",7,8
"2017-12",8,7
"2018-01",0,7025
"2018-01",1,24
"2018-01",2,24
"2018-01",3,22
"2018-01",4,11
"2018-01",5,13
"2018-01",6,18
"2018-01",7,5
"2018-02",0,6451
"2018-02",1,25
"2018-02",2,23
"2018-02",3,18
"2018-02",4,15
"2018-02",5,14
"2018-02",6,4
"2018-03",0,6965
"2018-03",1,32
"2018-03",2,12
"2018-03",3,15
"2018-03",4,12
"2018-03",5,3
"2018-04",0,6711
"2018-04",1,31
"2018-04",2,13
"2018-04",3,14
"2018-04",4,4
"2018-05",0,6622
"2018-05",1,20
"2018-05",2,24
"2018-05",3,2
"2018-06",0,5940
"2018-06",1,22
"2018-06",2,7
"2018-06",4,1
"2018-07",0,6071
"2018-07",1,9
"2018-08",0,6271
"2018-08",1,3
"2018-09",0,5
"2018-10",0,1
