"category_1","category_2","pair_count"
cama_mesa_banho,moveis_decoracao,71
moveis_decoracao,cama_mesa_banho,57
casa_conforto,cama_mesa_banho,52
moveis_decoracao,ferramentas_jardim,39
utilidades_domesticas,cama_mesa_banho,27
bebes,brinquedos,25
utilidades_domesticas,moveis_decoracao,25
informatica_acessorios,"",24
ferramentas_jardim,moveis_decoracao,21
eletronicos,informatica_acessorios,19
ferramentas_jardim,informatica_acessorios,19
beleza_saude,bebidas,17
moveis_decoracao,bebes,16
moveis_decoracao,casa_construcao,14
moveis_escritorio,esporte_lazer,13
bebes,cool_stuff,12
moveis_decoracao,utilidades_domesticas,12
cama_mesa_banho,market_place,11
construcao_ferramentas_iluminacao,moveis_decoracao,11
cama_mesa_banho,bebes,11
